Pasikartojo:   Zodis:
--------------------------------------------------
4              According
2              Achalov
2              Affairs
3              Aftermath
5              Airborne
2              Albertas
2              Alexander
3              Alpha
4              Alvydas
2              Alytus
5              American
2              An
3              Andrew
2              April
2              As
3              Austria
4              BMPs
2              Background
2              Baltic
2              Barricades
2              Belarus
2              Bloc
2              Burokevičius
2              CIA
2              Cemetery
3              Central
8              Committee
5              Communist
11             Council
3              Court
2              December
3              Defence
3              Defense
3              Department
2              Despite
4              Died
5              Division
2              Dmitry
6              During
3              Eiva
4              Events
2              February
3              Federation
2              Following
3              Foreign
2              Friday
3              From
4              General
2              Gerbutavičius
3              Golovatov
10             Gorbachev
2              Gorbachev's
3              Group
2              Guards
11             He
2              House
2              Iceland
11             In
36             January
3              Jermalavičius
3              Juknevičius
4              Juozas
4              KGB
2              Kanapinskas
13             Kaunas
3              Koncevičius
3              Kėdainiai
7              Landsbergis
2              Later
2              Legacy
2              Legal
2              List
42             Lithuania
20             Lithuanian
5              Lithuanians
2              Location
3              Marijampolė
2              Masiulis
2              Medininkai
9              Mikhail
8              Minister
2              Mykolas
6              Nashi
7              National
2              Nevzorov
2              OMON
3              Office
6              On
2              One
2              Order
6              Party
2              Pazdrazdis
2              People
2              Poland
2              Police
2              Povilaitis
4              President
2              Press
2              Prime
2              Prosecutor
2              Prunskienė
2              Pugo
3              Radio
2              Regional
5              Republic
3              Rimantas
4              Russia
9              Russian
2              Russophone
6              SSR
3              Salvation
2              Saturday
3              Sausio
3              Seimas
3              Shatskikh
2              Socialist
3              Soldiers
60             Soviet
2              Speaker
4              States
3              Sunday
11             Supreme
13             TV
3              Tallinn
2              Tanks
2              Technology
3              Television
25             The
5              This
2              Timeline
3              Titas
2              USSR
19             Union
5              United
2              University
3              Uskhopchik
2              VDV
2              Varėna
2              Viktor
22             Vilnius
2              Vladimir
2              Vladislav
7              Vytautas
3              Was
2              Western
3              Yazov
2              Yedinstvo
4              about
5              actions
11             after
8              against
2              aggression
2              air
8              all
4              also
4              ammunition
11             an
92             and
3              appeared
8              are
2              armed
7              army
3              around
6              arrived
3              article
13             as
2              asked
18             at
6              attack
2              attacking
6              attacks
2              awarded
2              back
3              barricades
3              base
9              be
2              became
4              been
2              being
5              between
5              broadcast
2              broadcasting
14             building
5              buildings
7              bullet
3              buried
8              but
17             by
3              call
4              called
2              calling
2              came
4              case
2              cemetery
2              ceremony
2              chauvinist
3              chest
2              children
2              citations
3              cities
5              civilian
5              civilians
2              column
3              commander
2              commemorating
2              confused
2              continued
2              could
2              crimes
3              crowds
5              day
2              days
2              demanding
2              denied
2              denounced
2              did
5              died
4              diplomatic
2              division
2              due
3              during
2              economic
2              encircle
2              enforcement
2              established
2              ethnic
18             events
2              exchange
2              extradite
2              face
2              factory
2              family
2              famous
8              fire
4              first
2              five
2              following
2              footage
14             for
5              forces
4              former
3              friendly
26             from
2              front
2              garrison
2              gathered
3              general
2              given
10             government
3              group
7              had
2              has
3              have
8              he
3              head
4              heart
2              help
3              her
2              him
5              his
2              hit
2              hospital
2              hospitalized
2              humanity
92             in
3              including
5              independence
2              individuals
2              injured
4              inside
2              instead
2              intelligence
4              into
2              investigation
2              involvement
8              is
9              it
6              its
3              journalist
7              killed
2              killing
2              killings
2              languages
2              large
6              later
2              law
2              laws
3              leaders
3              leaving
5              live
5              main
3              many
2              members
2              memorial
24             military
3              more
3              morning
2              most
5              movement
2              moving
2              national
2              nations
5              native
7              near
3              needed
2              neighbourhood
4              news
2              night
3              no
9              not
154            of
2              official
18             on
4              one
3              only
2              open
3              organization
2              our
2              outside
5              over
2              paratroopers
2              parliament
2              part
3              participated
7              people
2              period
2              phone
2              place
2              platform
2              political
3              population
2              possibility
3              possible
2              powers
2              price
2              proceedings
2              prosecutors
2              protection
2              protested
2              protests
2              raised
2              reaction
3              received
2              recognized
2              recorded
3              refused
2              regional
2              relations
2              reply
3              request
2              requested
2              resident
2              responses
2              restored
2              retranslators
5              said
3              same
2              saw
2              school
2              see
8              seize
2              sent
3              sentenced
8              several
2              she
2              shortly
10             shot
2              small
2              so
6              soldier
2              soldiers
5              some
2              sovereign
4              special
2              spetsnaz
2              spotted
3              started
2              state
2              states
3              station
4              street
2              strife
4              student
5              studio
2              support
3              supporters
2              surround
2              take
2              taken
3              tank
6              tanks
3              television
5              th
24             that
261            the
3              their
2              them
2              there
2              these
5              they
5              this
3              three
3              through
2              time
3              times
77             to
4              took
2              toward
10             tower
3              tried
3              troops
2              trucks
2              try
5              two
2              unarmed
2              under
10             units
2              up
3              use
2              using
4              vehicles
2              vicinity
3              victim
10             victims
2              video
2              war
35             was
3              we
2              weapons
23             were
2              what
3              when
3              which
15             who
2              windows
23             with
2              witness
2              worker
3              workers
2              world
4              would
3              wounded
4              wounds
2              youth
3              įvykiai
2              Šiauliai
2              Šimėnas
36             –
